X√‡,Y√‡,orientation,None,skirt,brim,raft,,,
30 ,150 ,"(30°∆,150°∆)",34.8 ,34.8 ,34.9 ,35.8 ,,,
60 ,150 ,"(60°∆,150°∆)",35.2 ,35.2 ,35.4 ,36.7 ,,,
90 ,150 ,"(90°∆,150°∆)",32.1 ,32.2 ,32.2 ,33.7 ,,,
120 ,150 ,"(120°∆,150°∆)",32.6 ,32.6 ,32.8 ,34.0 ,,,
150 ,150 ,"(150°∆,150°∆)",33.9 ,34.0 ,34.2 ,35.3 ,,,
180 ,150 ,"(180°∆,150°∆)",35.2 ,35.3 ,35.3 ,36.8 ,,,
210 ,150 ,"(210°∆,150°∆)",32.3 ,32.3 ,32.5 ,33.4 ,,,
240 ,150 ,"(240°∆,150°∆)",35.6 ,35.7 ,35.9 ,37.5 ,,,
270 ,150 ,"(270°∆,150°∆)",36.2 ,36.3 ,36.3 ,38.4 ,,,
300 ,150 ,"(300°∆,150°∆)",35.7 ,35.7 ,35.8 ,38.0 ,,,
330 ,150 ,"(330°∆,150°∆)",34.4 ,34.4 ,34.7 ,36.4 ,,,
360 ,150 ,"(360°∆,150°∆)",34.9 ,34.9 ,34.7 ,36.2 ,,,
0 ,180 ,"(0°∆,180°∆)",36.4 ,36.4 ,36.6 ,37.8 ,,,
30 ,180 ,"(30°∆,180°∆)",41.2 ,41.2 ,41.4 ,42.6 ,,,
60 ,180 ,"(60°∆,180°∆)",45.1 ,45.1 ,45.2 ,47.0 ,,,
90 ,180 ,"(90°∆,180°∆)",39.0 ,39.1 ,39.1 ,41.2 ,,,
120 ,180 ,"(120°∆,180°∆)",35.7 ,35.7 ,36.0 ,37.6 ,,,
150 ,180 ,"(150°∆,180°∆)",37.1 ,37.1 ,36.8 ,39.1 ,,,
180 ,180 ,"(180°∆,180°∆)",31.7 ,31.7 ,31.8 ,33.4 ,,,
210 ,180 ,"(210°∆,180°∆)",33.9 ,34.0 ,34.0 ,35.6 ,,,
240 ,180 ,"(240°∆,180°∆)",33.7 ,33.7 ,33.9 ,35.3 ,,,
270 ,180 ,"(270°∆,180°∆)",32.4 ,32.5 ,32.5 ,34.4 ,,,
300 ,180 ,"(300°∆,180°∆)",36.1 ,36.1 ,36.2 ,38.2 ,,,
330 ,180 ,"(330°∆,180°∆)",36.2 ,36.2 ,35.9 ,38.2 ,,,
360 ,180 ,"(360°∆,180°∆)",36.4 ,36.4 ,36.6 ,37.8 ,,,
0 ,210 ,"(0°∆,210°∆)",35.9 ,35.9 ,35.7 ,37.2 ,,,
30 ,210 ,"(30°∆,210°∆)",40.6 ,40.6 ,40.4 ,42.1 ,,,
60 ,210 ,"(60°∆,210°∆)",44.0 ,44.0 ,44.3 ,46.0 ,,,
