metric,count,mean,median,p80,p90,max,count_le_1_25,count_le_1_50,count_le_2_00
oracle,103,1.1335250333150466,1.0145308535961097,1.0815586389893495,1.1729102217622998,4.3135919104845195,95,100,100
untuned_J,103,4.655983026677497,1.414400439257625,2.299430956215935,4.28879866377107,125.33521048745074,40,60,75
raw_R+B,103,3.959492539412035,1.3396530367386337,2.4519066668366345,4.436759461705941,121.52280655330976,42,60,77
raw_R+P+B,103,4.655983026677497,1.414400439257625,2.299430956215935,4.28879866377107,125.33521048745074,40,60,75
B_nested,103,3.972991210397077,1.3362996231624507,2.212036355528719,3.5947363086201083,123.1627920062058,42,60,80
R+B_nested,103,4.167215943231951,1.4476945211830206,2.409988712979384,3.984144371196037,121.52280655330976,35,58,77
R+P+B_nested,103,4.264503406264502,1.4336990867207884,2.5946249800921026,4.212942555673179,125.33521048745074,35,56,74
full7_nested,103,4.229192977001382,1.459363886566088,2.5946249800921026,4.228931021900209,125.75176353113233,35,57,72
selected,103,4.165505265543189,1.4080675150904312,2.3598697806522893,4.416543821847678,121.52280655330976,41,61,79
