mesh,metric,key,value
Group_C3_dragon_100k_1.5x.ply,ablation_best3_ratio,T_rank_tuned,1.2832135682534769
Group_C3_dragon_100k_1.5x.ply,ablation_spearman,T_rank_tuned,0.8646803982820325
Group_C3_dragon_100k_1.5x.ply,ablation_best3_ratio,bed_only (B),1.3973104873942415
Group_C3_dragon_100k_1.5x.ply,ablation_spearman,bed_only (B),0.8407324221045868
Group_C3_dragon_100k_1.5x.ply,ablation_best3_ratio,tensor_only (0.05S+0.05s1),5.155114145571075
Group_C3_dragon_100k_1.5x.ply,ablation_spearman,tensor_only (0.05S+0.05s1),-0.6742413211935896
Group_C3_dragon_100k_1.5x.ply,ablation_best3_ratio,pair_only (P),4.907690875420762
Group_C3_dragon_100k_1.5x.ply,ablation_spearman,pair_only (P),-0.7083985953910501
Group_C4_happy_50k_0.75x.ply,pearson,J_raw,0.2267090914440684
Group_C4_happy_50k_0.75x.ply,spearman,J_raw,0.3262843579692916
Group_C4_happy_50k_0.75x.ply,pearson,R_rayleigh,0.13598411920943315
Group_C4_happy_50k_0.75x.ply,spearman,R_rayleigh,0.12641842967974296
Group_C4_happy_50k_0.75x.ply,pearson,P_pair,0.13984615334724187
Group_C4_happy_50k_0.75x.ply,spearman,P_pair,0.10270363519875414
Group_C4_happy_50k_0.75x.ply,pearson,B_bed,0.1757397005017596
Group_C4_happy_50k_0.75x.ply,spearman,B_bed,0.23210900369079612
Group_C4_happy_50k_0.75x.ply,pearson,H_hit,0.12543326024908627
Group_C4_happy_50k_0.75x.ply,spearman,H_hit,0.12646238996203885
Group_C4_happy_50k_0.75x.ply,pearson,S_nuclear,0.13102488601904425
Group_C4_happy_50k_0.75x.ply,spearman,S_nuclear,0.08015802811433013
Group_C4_happy_50k_0.75x.ply,pearson,sigma1,0.13399961086469792
Group_C4_happy_50k_0.75x.ply,spearman,sigma1,0.04984353519968302
Group_C4_happy_50k_0.75x.ply,ablation_best3_ratio,J = R+P+B,2.082422189515831
Group_C4_happy_50k_0.75x.ply,ablation_spearman,J = R+P+B,0.3262843579692916
Group_C4_happy_50k_0.75x.ply,ablation_best3_ratio,old J (+0.05S+0.05s1),2.082422189515831
Group_C4_happy_50k_0.75x.ply,ablation_spearman,old J (+0.05S+0.05s1),0.3216525940353217
Group_C4_happy_50k_0.75x.ply,ablation_best3_ratio,T_rank_tuned,2.184132354178508
Group_C4_happy_50k_0.75x.ply,ablation_spearman,T_rank_tuned,0.21372877232612952
Group_C4_happy_50k_0.75x.ply,ablation_best3_ratio,bed_only (B),2.5609275745548907
Group_C4_happy_50k_0.75x.ply,ablation_spearman,bed_only (B),0.23210900369079612
Group_C4_happy_50k_0.75x.ply,ablation_best3_ratio,tensor_only (0.05S+0.05s1),2.154794512779507
Group_C4_happy_50k_0.75x.ply,ablation_spearman,tensor_only (0.05S+0.05s1),0.067597360740466
Group_C4_happy_50k_0.75x.ply,ablation_best3_ratio,pair_only (P),2.3373420073553506
Group_C4_happy_50k_0.75x.ply,ablation_spearman,pair_only (P),0.10270363519875414
Group_C5_lucy_50k.ply,pearson,J_raw,0.37659206281234553
Group_C5_lucy_50k.ply,spearman,J_raw,0.6804178833386114
Group_C5_lucy_50k.ply,pearson,R_rayleigh,0.33572793445292853
Group_C5_lucy_50k.ply,spearman,R_rayleigh,0.15520056935089757
Group_C5_lucy_50k.ply,pearson,P_pair,-0.5125711072347897
Group_C5_lucy_50k.ply,spearman,P_pair,-0.6749947167243039
Group_C5_lucy_50k.ply,pearson,B_bed,0.421016603819707
Group_C5_lucy_50k.ply,spearman,B_bed,0.717748208466164
