mesh,top_k,window_degrees,face_count,candidate_pool_size,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,pool_oracle_ratio,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_cell_count,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,elapsed_sec
Group_C1_Bunny_69k.ply,3,10.0,69662,1292,265.00000168247254,48.9999990868195,3201.394288007878,1.457441746332514,1,67.00000300280972,128.9999933444683,4665.845681813137,1.457441746332514,1086,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,1.6745123000000603
Group_C1_Bunny_69k.ply,5,10.0,69662,1292,265.00000168247254,48.9999990868195,3201.394288007878,1.457441746332514,1,67.00000300280972,128.9999933444683,4665.845681813137,1.457441746332514,1689,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,1.6745123000000603
Group_C1_Bunny_69k.ply,10,10.0,69662,1292,265.00000168247254,48.9999990868195,3201.394288007878,1.457441746332514,1,67.00000300280972,128.9999933444683,4665.845681813137,1.457441746332514,2707,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,1.6745123000000603
Group_C1_Bunny_69k.ply,20,10.0,69662,1292,265.00000168247254,48.9999990868195,3201.394288007878,1.457441746332514,1,67.00000300280972,128.9999933444683,4665.845681813137,1.457441746332514,3763,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,1.6745123000000603
Group_C2_manikin.ply,3,10.0,13672,1292,192.99999967889,7.000000052497138,4657.721223909993,1.1269289689726742,1,181.99999368096277,353.99998936037997,8675.961455037772,1.862705180915617,1133,185.99999834573237,353.99998936037997,5371.9208260213045,1.153336700025118,1.033845999991172
Group_C2_manikin.ply,5,10.0,13672,1292,192.99999967889,7.000000052497138,4657.721223909993,1.1269289689726742,1,181.99999368096277,353.99998936037997,8675.961455037772,1.862705180915617,1506,185.99999834573237,353.99998936037997,5371.9208260213045,1.153336700025118,1.033845999991172
Group_C2_manikin.ply,10,10.0,13672,1292,192.99999967889,7.000000052497138,4657.721223909993,1.1269289689726742,10,3.999999969014533,183.99999601334758,7410.920848531171,1.5911044247319646,2050,192.99999967889,7.000000052497138,4657.721223909993,1.0,1.033845999991172
Group_C2_manikin.ply,20,10.0,13672,1292,192.99999967889,7.000000052497138,4657.721223909993,1.1269289689726742,10,3.999999969014533,183.99999601334758,7410.920848531171,1.5911044247319646,2794,192.99999967889,7.000000052497138,4657.721223909993,1.0,1.033845999991172
Group_C3_dragon_100k_1.5x.ply,3,10.0,99999,1292,161.99999767787153,257.9999866889366,24446.98002712786,1.288711162780426,3,12.999999792575526,276.9999883560246,39547.57343639027,1.61768747683787,1241,3.0000000834826057,279.99999868479097,30381.81352221276,1.2427634615195517,3.1308385000011185
Group_C3_dragon_100k_1.5x.ply,5,10.0,99999,1292,161.99999767787153,257.9999866889366,24446.98002712786,1.288711162780426,3,12.999999792575526,276.9999883560246,39547.57343639027,1.61768747683787,2082,326.0000113485062,276.9999883560246,28132.734219889997,1.1507652147084098,3.1308385000011185
