mesh,npz,face_count,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,sftf_score1_yaw,sftf_score1_pitch,sftf_score1_vss,sftf_score1_ratio,sftf_score1_signed_yaw,sftf_score1_signed_pitch,sftf_score1_signed_vss,sftf_score1_signed_ratio,sftf_best3_rank,sftf_best3_yaw,sftf_best3_pitch,sftf_best3_vss,sftf_best3_ratio,sftf_best3_signed_rank,sftf_best3_signed_yaw,sftf_best3_signed_pitch,sftf_best3_signed_vss,sftf_best3_signed_ratio,elapsed_sec
(1)Bunny_69k.ply,Experimental\etc\(1)Bunny_69k_tomo_int3_vss_grid_1deg_60deg.npz,69662,299.000000351879,36.99999875288908,4440.337173209703,67.00000300280972,308.99999835342464,6562.985171956464,1.4780375714604579,67.00000300280972,128.9999933444683,5217.859567689501,1.1751043590047385,2,41.00000000256408,120.99999767530745,5358.588597006049,1.20679767954031,1,67.00000300280972,128.9999933444683,5217.859567689501,1.1751043590047385,1.6854709000035655
(2)manikin.ply,Experimental\etc\(2)manikin_tomo_int3_vss_grid_1deg_60deg.npz,13672,190.00000301050196,9.000000250447817,2956.1209284569604,181.99999368096277,353.99998936037997,5565.561046285077,1.8827244151984661,181.99999368096277,353.99998936037997,5565.561046285077,1.8827244151984661,1,181.99999368096277,353.99998936037997,5565.561046285077,1.8827244151984661,1,181.99999368096277,353.99998936037997,5565.561046285077,1.8827244151984661,1.0095296000072267
(3)dragon_100k_1.5x.ply,Experimental\etc\(3)dragon_100k_1.5x_tomo_int3_vss_grid_1deg_60deg.npz,99999,130.99999567685308,257.9999866889366,28106.973190938144,210.99999334959645,259.0000083456965,37640.00017780903,1.3391694624003267,210.99999334959645,259.0000083456965,37640.00017780903,1.3391694624003267,3,12.999999792575526,276.9999883560246,36067.24936114855,1.2832135682534769,3,12.999999792575526,276.9999883560246,36067.24936114855,1.2832135682534769,3.464382400008617
(4)happy_50k_0.75x.ply,Experimental\etc\(4)happy_50k_0.75x_tomo_int3_vss_grid_1deg_60deg.npz,49944,346.00000735159745,31.999999752116263,8512.6398023495,113.00000200614662,294.00000135110616,19894.229479072506,2.3370223504090553,113.00000200614662,294.00000135110616,19894.229479072506,2.3370223504090553,3,252.99998768816374,289.0000023503334,18592.73201177928,2.184132354178508,3,252.99998768816374,289.0000023503334,18592.73201177928,2.184132354178508,1.6703200000047218
(5)lucy_50k.ply,Experimental\etc\(5)lucy_50k_tomo_int3_vss_grid_1deg_60deg.npz,49999,178.00000267657154,358.99998836115276,7605.40144502624,357.99999402514953,176.99999468018999,9132.080826877562,1.2007361995137988,357.99999402514953,176.99999468018999,9132.080826877562,1.2007361995137988,1,357.99999402514953,176.99999468018999,9132.080826877562,1.2007361995137988,1,357.99999402514953,176.99999468018999,9132.080826877562,1.2007361995137988,2.037060200003907
