group,stage,mesh_count,triggered_count,mean_local_ratio,median_local_ratio,p80_local_ratio,max_local_ratio,mean_local_cell_count,mean_local_budget_fraction,count_ratio_le_1_25,count_ratio_le_1_50,count_ratio_le_2_00
ALL,base_top_k,26,19,5.362516618283489,1.1812197541818192,3.044432559581246,62.59206345625487,2829.269230769231,0.021710002461377907,14,15,17
ALL,adaptive_final,26,19,1.1858179818705874,1.0554452263201293,1.2749998291906608,2.2685387166172277,16100.846153846154,0.12354759519836524,20,23,25
ALL,happy_method,19,19,1.17181621544143,1.0566052058045992,1.28935715007278,1.9248130269365797,21231.42105263158,0.16291634542883787,14,17,19
A,base_top_k,2,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,3236.5,0.024834830917503704,2,2,2
A,adaptive_final,2,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,9888.5,0.07587802426316556,2,2,2
A,happy_method,2,2,1.0283026029022997,1.0283026029022997,1.0452841646436792,1.0566052058045992,9888.5,0.07587802426316556,2,2,2
B,base_top_k,1,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1.0967742141907648,2991.0,0.022951020940600517,1,1,1
B,adaptive_final,1,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1.0967742141907648,9078.0,0.0696587656632469,1,1,1
B,happy_method,1,1,1.0967742141907648,1.0967742141907648,1.0967742141907648,1.0967742141907648,9078.0,0.0696587656632469,1,1,1
C,base_top_k,8,4,4.499560764495734,1.0656622274348675,2.097370163456809,26.741246249958582,2569.5,0.019716699534227028,5,5,6
C,adaptive_final,8,4,1.3165825972298675,1.059461638594049,1.590504405515119,2.2685387166172277,12233.25,0.0938701360486798,5,6,7
C,happy_method,4,4,1.2899895362094402,1.2489168426646982,1.554694378518496,1.6621244595083648,22278.0,0.17094712287351999,2,3,4
D,base_top_k,6,5,11.773293819392572,1.411309734650258,3.044432559581246,62.59206345625487,3398.3333333333335,0.02607663640804884,2,3,4
D,adaptive_final,6,5,1.0301079052031326,1.0,1.0542852468356594,1.1263621843831357,30723.833333333332,0.23575504587390625,6,6,6
D,happy_method,5,5,1.025272436876627,1.0,1.025272436876627,1.1263621843831357,36469.2,0.27984131490703723,5,5,5
E,base_top_k,9,7,3.2928670692282296,2.0549390511325845,5.12663080805329,10.001470468028536,2572.3333333333335,0.019738440722012057,4,4,4
E,adaptive_final,9,7,1.2182866555091305,1.147954987160484,1.28935715007278,1.9248130269365797,11950.888888888889,0.09170347748167132,6,8,9
E,happy_method,7,7,1.2606869063101303,1.1631958252108923,1.3037144709548996,1.9248130269365797,14726.285714285714,0.11300009756129646,4,6,7
