mesh,PCA,SupportTensor,SFTF_untuned,SFTF_tuned_LOMO,SFTF_oracle
(1)Bunny_69k.ply,1.549027099394325,2.1114718802015866,1.3813697599177108,1.20679767954031,1.0197404592550583
(2)manikin.ply,2.8965263262964016,2.3879675783566654,5.01784703451211,3.0156417548720205,1.1710214857292547
(3)dragon_100k_1.5x.ply,2.1010080063979397,1.5799596651625227,1.3972256619747694,1.4056072546624538,1.0341979637412693
(5)lucy_50k.ply,1.256375664351988,3.755935197291741,1.2007361995137988,1.2007361995137988,1.0105555999228721
MEAN,1.9507342741101634,2.458833580253129,2.249294663979597,1.7071957221471457,1.0588788771621136
