metric,count,mean,median,p80,p90,max,count_le_1_25,count_le_1_50,count_le_2_00
oracle,16,1.4528669955261033,1.148384923606149,1.288711162780426,2.133313436145274,4.348005783042627,10,14,14
untuned_J,16,11.03701694930859,2.296524111594287,3.9852887907671564,7.645636668622528,132.82869518103345,2,3,6
raw_R+B,16,10.52913006113682,2.1575405762865074,4.450166424177432,11.102212920131727,118.97011620016518,2,4,8
raw_R+P+B,16,11.03701694930859,2.296524111594287,3.9852887907671564,7.645636668622528,132.82869518103345,2,3,6
B_nested,16,10.410087561262038,2.20722795357457,3.442648623304196,10.725065974036063,118.97011620016518,2,4,8
R+B_nested,16,12.217017353522287,2.485141092349804,5.29386428354243,8.11300290278857,146.46571174573785,1,4,6
R+P+B_nested,16,11.586490370071989,2.394770612323322,4.427305397247178,8.23453811563206,137.72927391992764,1,4,7
full7_nested,16,11.022116092705195,2.5021125249804936,4.9828978755469775,8.143963556321072,128.73183063917983,1,5,6
selected,16,11.678257931284431,2.20722795357457,4.427305397247178,10.940659279702576,137.72927391992764,2,4,8
