mesh,group,ranking,top_k,local_cell_count,local_budget_fraction,tomo_best_vss,local_best_ratio
Group_A2_sphere,A,tuned,5,1561,0.011978115576154266,337.92022092283264,1.0
Group_A2_sphere,A,tuned,10,2254,0.017295754329693602,337.92022092283264,1.0
Group_A2_sphere,A,tuned,20,3457,0.026526806884538946,337.92022092283264,1.0
Group_A2_sphere,A,rtilde,5,1561,0.011978115576154266,337.92022092283264,1.0
Group_A2_sphere,A,rtilde,10,2254,0.017295754329693602,337.92022092283264,1.0
Group_A2_sphere,A,rtilde,20,3457,0.026526806884538946,337.92022092283264,1.0
Group_A5_torus,A,tuned,5,2144,0.01645168468627466,548.3602073566973,1.0566052058045992
Group_A5_torus,A,tuned,10,4219,0.032373907505313805,548.3602073566973,1.0566052058045992
Group_A5_torus,A,tuned,20,7021,0.05387466333131268,548.3602073566973,1.0566052058045992
Group_A5_torus,A,rtilde,5,2039,0.015645981844829307,548.3602073566973,1.0566052058045992
Group_A5_torus,A,rtilde,10,3864,0.029649864565189032,548.3602073566973,1.0566052058045992
Group_A5_torus,A,rtilde,20,6194,0.04752879428488118,548.3602073566973,1.0566052058045992
Group_B2_hook,B,tuned,5,1818,0.013950169197596703,120.27997954571542,1.0967742141907648
Group_B2_hook,B,tuned,10,2991,0.022951020940600517,120.27997954571542,1.0967742141907648
Group_B2_hook,B,tuned,20,4872,0.037384611843064436,120.27997954571542,1.0967742141907648
Group_B2_hook,B,rtilde,5,1896,0.014548691308384681,120.27997954571542,1.0967742141907648
Group_B2_hook,B,rtilde,10,3285,0.02520698889664751,120.27997954571542,1.0967742141907648
Group_B2_hook,B,rtilde,20,4614,0.035404884861227275,120.27997954571542,1.0967742141907648
Group_C1_Bunny_69k,C,tuned,5,1689,0.012960305706678126,4440.337173209703,1.0154979833762219
Group_C1_Bunny_69k,C,tuned,10,2707,0.020771786588500703,4440.337173209703,1.0147593608041465
Group_C1_Bunny_69k,C,tuned,20,4078,0.031291963689658614,4440.337173209703,1.0147593608041465
Group_C1_Bunny_69k,C,rtilde,5,1900,0.014579384749963552,4440.337173209703,1.2076538959733643
Group_C1_Bunny_69k,C,rtilde,10,2731,0.020955947237973924,4440.337173209703,1.0501806286079682
Group_C1_Bunny_69k,C,rtilde,20,4508,0.034591508659387205,4440.337173209703,1.0501806286079682
