stem,family,group_id,angle_step,critical_angle,grid_path,candidate_path,has_candidate,candidate_count,tomo_best_vss,usable,skip_reason
Group_B2_hook,B,B2,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_B2_hook_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_B2_hook_candidates.csv,True,1292,1735.8810941049876,True,usable
Group_B2_hook,B,B2,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_B2_hook_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_B2_hook_candidates.csv,True,1292,725.1602066449883,True,usable
Group_B2_hook,B,B2,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_B2_hook_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_B2_hook_candidates.csv,True,1292,318.7201670871293,True,usable
Group_B2_hook,B,B2,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B2_hook_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B2_hook_candidates.csv,True,1292,132.9199741940853,True,usable
Group_B3_c_clamp,B,B3,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_B3_c_clamp_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_B3_c_clamp_candidates.csv,True,1292,1567.5218637324563,True,usable
Group_B3_c_clamp,B,B3,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_B3_c_clamp_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_B3_c_clamp_candidates.csv,True,1292,1567.5218637324563,True,usable
Group_B3_c_clamp,B,B3,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_B3_c_clamp_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_B3_c_clamp_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_B3_c_clamp,B,B3,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B3_c_clamp_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B3_c_clamp_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_B4_pipe_elbow,B,B4,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_B4_pipe_elbow_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_B4_pipe_elbow_candidates.csv,True,1292,384.3200354536703,True,usable
Group_B4_pipe_elbow,B,B4,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_B4_pipe_elbow_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_B4_pipe_elbow_candidates.csv,True,1292,57.8000110166132,True,usable
Group_B4_pipe_elbow,B,B4,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_B4_pipe_elbow_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_B4_pipe_elbow_candidates.csv,True,1292,11.640000503417873,True,usable
Group_B4_pipe_elbow,B,B4,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_B4_pipe_elbow_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_B4_pipe_elbow_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
Group_B5_hollow_box,B,B5,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_B5_hollow_box_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_B5_hollow_box_candidates.csv,True,1292,5187.706021237965,True,usable
Group_B5_hollow_box,B,B5,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_B5_hollow_box_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_B5_hollow_box_candidates.csv,True,1292,4733.951623774757,True,usable
Group_B5_hollow_box,B,B5,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_B5_hollow_box_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_B5_hollow_box_candidates.csv,True,1292,0.0,False,nonpositive_tomo_best
