mesh,stage,triggered,trigger_reasons,candidate_center_count,window_degrees,full_grid_cells,local_cell_count,local_budget_fraction,bbox_volume,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,seed_best_source,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,normalized_local_vss,seed_to_local_gain
Group_C1_Bunny_69k.ply,base_top_k,False,boundary_local_minimum;low_seed_to_local_gain,10,10.0,130321,2707,0.020771786588500703,329847.7240470774,265.00000168247254,48.9999990868195,3201.394288007878,sftf,1,67.00000300280972,128.9999933444683,4665.845681813137,1.457441746332514,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,0.010279784183926138,1.3760457774040604
Group_C1_Bunny_69k.ply,adaptive_final,False,boundary_local_minimum;low_seed_to_local_gain,10,10.0,130321,2707,0.020771786588500703,329847.7240470774,265.00000168247254,48.9999990868195,3201.394288007878,sftf,1,67.00000300280972,128.9999933444683,4665.845681813137,1.457441746332514,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,0.010279784183926138,1.3760457774040604
Group_C2_manikin.ply,base_top_k,False,boundary_local_minimum,10,10.0,130321,2050,0.0157303888091712,781290.2312873882,192.99999967889,7.000000052497138,4657.721223909993,sftf,10,3.999999969014533,183.99999601334758,7410.920848531171,1.5911044247319646,192.99999967889,7.000000052497138,4657.721223909993,1.0,0.005961576168993089,1.5911044247319646
Group_C2_manikin.ply,adaptive_final,False,boundary_local_minimum,10,10.0,130321,2050,0.0157303888091712,781290.2312873882,192.99999967889,7.000000052497138,4657.721223909993,sftf,10,3.999999969014533,183.99999601334758,7410.920848531171,1.5911044247319646,192.99999967889,7.000000052497138,4657.721223909993,1.0,0.005961576168993089,1.5911044247319646
Group_C3_dragon_100k_1.5x.ply,base_top_k,False,boundary_local_minimum;low_seed_to_local_gain,10,10.0,130321,3634,0.02788499167440397,1487645.696065514,161.99999767787153,257.9999866889366,24446.98002712786,sftf,6,171.00000134341394,259.0000083456965,31505.09605722979,1.288711162780426,161.99999767787153,257.9999866889366,24446.98002712786,1.0,0.016433334961264354,1.288711162780426
Group_C3_dragon_100k_1.5x.ply,adaptive_final,False,boundary_local_minimum;low_seed_to_local_gain,10,10.0,130321,3634,0.02788499167440397,1487645.696065514,161.99999767787153,257.9999866889366,24446.98002712786,sftf,6,171.00000134341394,259.0000083456965,31505.09605722979,1.288711162780426,161.99999767787153,257.9999866889366,24446.98002712786,1.0,0.016433334961264354,1.288711162780426
Group_C4_happy_50k_0.75x.ply,base_top_k,True,high_normalized_support;boundary_local_minimum;low_seed_to_local_gain,10,10.0,130321,2872,0.022037891053629115,349764.91179481667,90.99999684048139,110.99999967376182,2112.4674268990507,sftf,3,252.99998768816374,289.0000023503334,23727.487926640788,11.232120138046826,261.99999135370615,279.00000434878774,17990.9871629447,8.516574946366944,0.05143736994835774,1.3188541413397994
Group_C4_happy_50k_0.75x.ply,happy_method,True,high_normalized_support;boundary_local_minimum;low_seed_to_local_gain,36,10.0,130321,9745,0.07477689704652359,349764.91179481667,90.99999684048139,110.99999967376182,2112.4674268990507,sftf,30,86.99999900590097,96.99999700744661,10705.223753432598,5.06763967913441,90.99999684048139,110.99999967376182,2112.4674268990507,1.0,0.0060396779541404995,5.06763967913441
Group_C4_happy_50k_0.75x.ply,adaptive_final,True,high_normalized_support;boundary_local_minimum;low_seed_to_local_gain,36,10.0,130321,9745,0.07477689704652359,349764.91179481667,90.99999684048139,110.99999967376182,2112.4674268990507,sftf,30,86.99999900590097,96.99999700744661,10705.223753432598,5.06763967913441,90.99999684048139,110.99999967376182,2112.4674268990507,1.0,0.0060396779541404995,5.06763967913441
Group_C5_lucy_50k.ply,base_top_k,False,,10,10.0,130321,2555,0.01960543580850362,1133888.2427607272,181.99999368096277,358.99998836115276,5036.138305979327,sftf,6,357.99999402514953,181.99999368096277,13939.90083174272,2.7679741867279732,181.99999368096277,358.99998836115276,5036.138305979327,1.0,0.0044414767840943664,2.7679741867279732
Group_C5_lucy_50k.ply,adaptive_final,False,,10,10.0,130321,2555,0.01960543580850362,1133888.2427607272,181.99999368096277,358.99998836115276,5036.138305979327,sftf,6,357.99999402514953,181.99999368096277,13939.90083174272,2.7679741867279732,181.99999368096277,358.99998836115276,5036.138305979327,1.0,0.0044414767840943664,2.7679741867279732
