mesh,group,stage,triggered,trigger_reasons,face_count,candidate_count,candidate_center_count,window_degrees,full_grid_cells,local_cell_count,local_budget_fraction,bbox_volume,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,normalized_local_vss,seed_to_local_gain
Group_A2_sphere,A,base_top_k,True,high_normalized_support;low_seed_to_local_gain,2976,1292,10,10.0,130321,2254,0.017295754329693602,8000.0,0.0,0.0,337.92022092283264,9,181.99999368096277,185.99999834573237,370.9602823927383,1.097774739196358,180.00000500895632,0.0,337.92022092283264,1.0,0.04224002761535408,1.097774739196358
Group_A2_sphere,A,happy_method,True,high_normalized_support;low_seed_to_local_gain,2976,1292,50,10.0,130321,6807,0.0522325642068431,8000.0,0.0,0.0,337.92022092283264,30,0.0,347.9999960236039,354.32024189263336,1.0485322272961755,180.00000500895632,0.0,337.92022092283264,1.0,0.04224002761535408,1.0485322272961755
Group_A2_sphere,A,adaptive_final,True,high_normalized_support;low_seed_to_local_gain,2976,1292,50,10.0,130321,6807,0.0522325642068431,8000.0,0.0,0.0,337.92022092283264,30,0.0,347.9999960236039,354.32024189263336,1.0485322272961755,180.00000500895632,0.0,337.92022092283264,1.0,0.04224002761535408,1.0485322272961755
Group_A5_torus,A,base_top_k,True,high_normalized_support;low_seed_to_local_gain,2304,1292,10,10.0,130321,4219,0.032373907505313805,8192.0,178.00000267657154,84.00000233751295,548.3602073566973,7,268.0000120112389,250.9999990161573,593.1201552556566,1.0816250838380836,264.0000073464693,164.00000001025631,579.4002497491758,1.0566052058045992,0.07072756954945994,1.0236794953271424
Group_A5_torus,A,happy_method,True,high_normalized_support;low_seed_to_local_gain,2304,1292,50,10.0,130321,12970,0.09952348431948803,8192.0,178.00000267657154,84.00000233751295,548.3602073566973,7,268.0000120112389,250.9999990161573,593.1201552556566,1.0816250838380836,264.0000073464693,164.00000001025631,579.4002497491758,1.0566052058045992,0.07072756954945994,1.0236794953271424
Group_A5_torus,A,adaptive_final,True,high_normalized_support;low_seed_to_local_gain,2304,1292,50,10.0,130321,12970,0.09952348431948803,8192.0,178.00000267657154,84.00000233751295,548.3602073566973,7,268.0000120112389,250.9999990161573,593.1201552556566,1.0816250838380836,264.0000073464693,164.00000001025631,579.4002497491758,1.0566052058045992,0.07072756954945994,1.0236794953271424
Group_B2_hook,B,base_top_k,True,high_normalized_support;low_seed_to_local_gain,1560,1292,10,10.0,130321,2991,0.022951020940600517,3333.7422813926446,216.0000060107476,51.999999170302104,120.27997954571542,1,185.99999834573237,125.99999667608026,190.72005448262553,1.5856342443934122,178.99999701257477,137.99999701001067,131.9199800491333,1.0967742141907648,0.03957113925255937,1.4457253132663626
Group_B2_hook,B,happy_method,True,high_normalized_support;low_seed_to_local_gain,1560,1292,50,10.0,130321,9078,0.0696587656632469,3333.7422813926446,216.0000060107476,51.999999170302104,120.27997954571542,1,185.99999834573237,125.99999667608026,190.72005448262553,1.5856342443934122,178.99999701257477,137.99999701001067,131.9199800491333,1.0967742141907648,0.03957113925255937,1.4457253132663626
Group_B2_hook,B,adaptive_final,True,high_normalized_support;low_seed_to_local_gain,1560,1292,50,10.0,130321,9078,0.0696587656632469,3333.7422813926446,216.0000060107476,51.999999170302104,120.27997954571542,1,185.99999834573237,125.99999667608026,190.72005448262553,1.5856342443934122,178.99999701257477,137.99999701001067,131.9199800491333,1.0967742141907648,0.03957113925255937,1.4457253132663626
Group_C1_Bunny_69k,C,base_top_k,True,high_normalized_support;low_seed_to_local_gain,69662,1292,10,10.0,130321,2707,0.020771786588500703,329847.7240470774,299.000000351879,36.99999875288908,4440.337173209703,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,0.013660466279276404,1.0451670132603517
