policy,mesh_count,mean_ratio,median_ratio,max_ratio,count_ratio_le_2_00
SFTF top-20 only,24,3.724135147795227,1.1996365745956976,34.03656384860017,16
Uniform only,24,1.3140475666427187,1.1254854471216935,2.6128619942276337,21
"Routed fixed (nn_frac>=0.8, cv<=2.0)",24,1.277356108943573,1.0712096728656064,2.6128619942276337,22
Routed LOO (thresholds refit per fold),24,1.3260037518221088,1.1010274351384008,2.6128619942276337,21
Routed fixed -> hybrid 25:75 branch,24,1.2663486830292117,1.0916290797470563,2.6128619942276337,22
Routed LOO -> hybrid 25:75 branch,24,1.3071425874938392,1.0916290797470563,2.6128619942276337,21
Oracle per-mesh winner,24,1.2414476243320547,1.0639953331834762,2.6128619942276337,22
