mesh,group,stage,triggered,trigger_reasons,face_count,candidate_count,candidate_center_count,window_degrees,full_grid_cells,local_cell_count,local_budget_fraction,bbox_volume,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,normalized_local_vss,seed_to_local_gain
Group_A2_sphere,A,base_top_k,True,high_normalized_support;low_seed_to_local_gain,2976,512,10,10.0,130321,4349,0.033371444356627096,8000.0,0.0,0.0,337.92022092283264,1,0.0,356.0000053531431,375.84025874610774,1.1122159476568716,0.0,0.0,337.92022092283264,1.0,0.04224002761535408,1.1122159476568716
Group_A2_sphere,A,adaptive_final,True,high_normalized_support;low_seed_to_local_gain,2976,512,50,10.0,130321,20825,0.15979773021999524,8000.0,0.0,0.0,337.92022092283264,44,15.999999876058132,175.00000600818353,375.72027976847875,1.111860896463719,0.0,0.0,337.92022092283264,1.0,0.04224002761535408,1.111860896463719
Group_A5_torus,A,base_top_k,True,high_normalized_support;low_seed_to_local_gain,2304,512,10,10.0,130321,4348,0.03336377099623238,8192.0,178.00000267657154,84.00000233751295,548.3602073566973,2,88.00000017209338,31.999999752116263,679.6802617301626,1.2394777239699384,268.0000120112389,62.99999833804013,591.640199018904,1.0789262077765136,0.0722217039817998,1.1488067627204037
Group_A5_torus,A,adaptive_final,True,high_normalized_support;low_seed_to_local_gain,2304,512,50,10.0,130321,20907,0.16042694577236208,8192.0,178.00000267657154,84.00000233751295,548.3602073566973,36,94.00000033905859,151.9999996763259,654.0402893192512,1.1927201874694222,278.0000100127845,345.0000130155942,585.5201935965167,1.0677656506458493,0.0714746330073873,1.117024308421977
Group_B2_hook,B,base_top_k,True,high_normalized_support;low_seed_to_local_gain,1560,512,10,10.0,130321,4307,0.03304916322004896,3333.7422813926446,216.0000060107476,51.999999170302104,120.27997954571542,7,341.00000835082466,128.9999933444683,164.96004151903892,1.371467156396894,18.000000500895634,48.00000133572169,129.03998428878705,1.072830115004652,0.03870724651063357,1.278363775602018
Group_B2_hook,B,adaptive_final,True,high_normalized_support;low_seed_to_local_gain,1560,512,50,10.0,130321,20584,0.1579484503648683,3333.7422813926446,216.0000060107476,51.999999170302104,120.27997954571542,12,39.99999883637168,132.99999800923788,150.43999907399012,1.2507484590717912,188.00000067811717,48.9999990868195,128.03998244695427,1.0645161641243002,0.03840728275896197,1.1749454834259756
Group_C1_Bunny_69k,C,base_top_k,True,high_normalized_support;boundary_local_minimum;low_seed_to_local_gain;boundary_plateau,69662,512,10,10.0,130321,4286,0.032888022651759885,329847.7240470774,299.000000351879,36.99999875288908,4440.337173209703,6,18.000000500895634,45.999999003336896,7196.242651663536,1.6206522998031079,273.00001101201167,51.999999170302104,5194.7477435277515,1.1698993884675477,0.015748927049702283,1.385292030903616
Group_C1_Bunny_69k,C,adaptive_final,True,high_normalized_support;boundary_local_minimum;low_seed_to_local_gain;boundary_plateau,69662,512,200,10.0,130321,55916,0.4290636198310326,329847.7240470774,299.000000351879,36.99999875288908,4440.337173209703,16,115.99999867453464,144.00000400716507,4700.691246789349,1.058633852210698,299.000000351879,36.99999875288908,4440.337173209703,1.0,0.01346177902557229,1.058633852210698
Group_C2_manikin,C,base_top_k,False,,13672,512,10,10.0,130321,4326,0.03319495706754859,781290.2312873882,190.00000301050196,9.000000250447817,2956.1209284569604,1,0.0,176.00000034418676,7041.360721115238,2.381959632751119,7.999999938029066,173.99999801180195,3008.8407441604236,1.0178341201119203,0.003851117835176999,2.340223800405905
Group_C2_manikin,C,adaptive_final,False,,13672,512,10,10.0,130321,4326,0.03319495706754859,781290.2312873882,190.00000301050196,9.000000250447817,2956.1209284569604,1,0.0,176.00000034418676,7041.360721115238,2.381959632751119,7.999999938029066,173.99999801180195,3008.8407441604236,1.0178341201119203,0.003851117835176999,2.340223800405905
