mesh,group,split,optimum_sign_class,ratio_defined,tomo_best_yaw_deg,tomo_best_pitch_deg,tomo_best_vss,bbox_volume,nn_frac,score_cv,fixed_route,selected_source,verification_count,escalated,selected_yaw_deg,selected_pitch_deg,selected_vss,ratio_to_exhaustive_optimum,sftf_ave_vss,uniform_ave_vss,selected_branch_has_lower_surrogate_excess,sftf_grid_range_normalized_regret,uniform_grid_range_normalized_regret,grid_min_vss,grid_max_vss,grid_range_vss,surrogate_excess_vss,absolute_surrogate_error_vss,bbox_normalized_surrogate_excess,grid_range_normalized_regret,selected_grid_strictly_better_fraction,selected_value_tie_fraction,global_optimum_plateau_fraction,selected_is_global_optimum,nonnegative_clipped_excess_vss
Group_A1_cube,A,calibration,nonpositive,False,30.000000834826057,0.0,0.0,8000.0,1.0,0.6967784143338641,SFTF,calibrated SFTF axes (up to 200),50,True,90.00000250447816,0.9999999922536332,1761.522051716639,,1761.522051716639,0.0,False,0.44331501273520113,0.0,0.0,3973.522215835319,3973.522215835319,1761.522051716639,1761.522051716639,0.22019025646457988,0.44331501273520113,0.4969882060450733,0.00013812048710491786,0.4969882060450733,False,1761.522051716639
Group_A2_sphere,A,calibration,positive,True,0.0,0.0,337.92022092283264,8000.0,0.95,0.8617311207870585,SFTF,calibrated SFTF axes (up to 200),50,True,180.00000500895632,0.0,337.92022092283264,1.0,337.92022092283264,337.92022092283264,True,0.0,0.0,337.92022092283264,459.5603393621681,121.64011843933548,0.0,0.0,0.0,0.0,0.0,6.906024355245893e-05,6.906024355245893e-05,True,0.0
Group_A3_cylinder,A,calibration,nonpositive,False,30.000000834826057,0.0,0.0,5120.0,1.0,0.6003971318616153,SFTF,calibrated SFTF axes (up to 200),50,True,358.99998836115276,178.99999701257477,841.9609266864367,,841.9609266864367,0.0,False,0.5695232456104545,0.0,0.0,1478.3609504542076,1478.3609504542076,841.9609266864367,841.9609266864367,0.16444549349344467,0.5695232456104545,0.49681939211638954,3.0693441578870636e-05,0.2856331673329701,False,841.9609266864367
Group_A4_cone,A,calibration,nonpositive,False,30.000000834826057,0.0,0.0,5120.0,0.5,0.7929340501496853,uniform,first 200 farthest-point uniform axes,10,False,0.0,166.00000234264112,0.0,,0.0,0.0,True,0.0,0.0,0.0,1473.600953078467,1473.600953078467,0.0,0.0,0.0,0.0,0.0,0.40613561897161626,0.40613561897161626,True,0.0
Group_A5_torus,A,calibration,positive,True,178.00000267657154,84.00000233751295,548.3602073566973,8192.0,0.65,0.5668704716481322,uniform,first 200 farthest-point uniform axes,50,True,278.0000100127845,345.0000130155942,585.5201935965167,1.0677656506458493,579.4002497491758,585.5201935965167,False,0.015924817320657505,0.01906460001003944,548.3602073566973,2497.5218063543653,1949.161598997668,37.15998623981943,37.15998623981943,0.004536131132790458,0.01906460001003944,0.00039901474052531826,3.0693441578870636e-05,3.0693441578870636e-05,False,37.15998623981943
Group_B1_u_bracket,B,calibration,nonpositive,False,30.000000834826057,0.0,0.0,9000.0,0.75,1.5013729598722676,uniform,first 200 farthest-point uniform axes,10,False,78.00000217054775,207.99999668120842,0.0,,1680.04200970831,0.0,True,0.21313074038759455,0.0,0.0,7882.682745121727,7882.682745121727,0.0,0.0,0.0,0.0,0.0,0.4969882060450733,0.4969882060450733,True,0.0
Group_B2_hook,B,calibration,positive,True,216.0000060107476,51.999999170302104,120.27997954571542,3333.7422813926446,0.7,0.7167937801859358,uniform,first 200 farthest-point uniform axes,50,True,188.00000067811717,48.9999990868195,128.03998244695427,1.0645161641243002,131.9199800491333,128.03998244695427,True,0.00811036533661644,0.0054069120120545,120.27997954571542,1555.480493986902,1435.2005144411867,7.760002901238849,7.760002901238849,0.002327715295975779,0.0054069120120545,3.0693441578870636e-05,9.208032473661191e-05,7.673360394717659e-06,False,7.760002901238849
Group_B3_c_clamp,B,calibration,nonpositive,False,30.000000834826057,0.0,0.0,10800.0,0.65,2.4962856688364585,uniform,first 200 farthest-point uniform axes,10,False,78.00000217054775,207.99999668120842,0.0,,0.0,0.0,True,0.0,0.0,0.0,9167.057423552205,9167.057423552205,0.0,0.0,0.0,0.0,0.0,0.4969882060450733,0.4969882060450733,True,0.0
Group_B4_pipe_elbow,B,calibration,nonpositive,False,22.000000043023345,25.00000012650595,0.0,3610.0,0.55,0.2693544868663231,uniform,first 200 farthest-point uniform axes,10,False,9.000000250447817,216.0000060107476,0.0,,0.0,0.0,True,0.0,0.0,0.0,1145.2005421819765,1145.2005421819765,0.0,0.0,0.0,0.0,0.0,0.0960704721418651,0.0960704721418651,True,0.0
Group_B5_hollow_box,B,calibration,nonpositive,False,30.000000834826057,0.0,0.0,18000.0,0.1,0.37141182010489326,uniform,first 200 farthest-point uniform axes,10,False,78.00000217054775,207.99999668120842,0.0,,0.0,0.0,True,0.0,0.0,0.0,13696.400587223778,13696.400587223778,0.0,0.0,0.0,0.0,0.0,0.4969882060450733,0.4969882060450733,True,0.0
