mesh,group,sftf_ave_ratio,sftf_ave_budget,uniform_ave_ratio,uniform_ave_budget,uniform_triggered
Group_A2_sphere,A,1.0,0.0522325642068431,1.0,0.15979773021999524,True
Group_A5_torus,A,1.0566052058045992,0.09952348431948803,1.0677656506458493,0.16042694577236208,True
Group_B2_hook,B,1.0967742141907648,0.0696587656632469,1.0645161641243002,0.1579484503648683,True
Group_C1_Bunny_69k,C,1.0147593608041465,0.0864327314860997,1.0,0.4290636198310326,True
Group_C2_manikin,C,1.0,0.0157303888091712,1.0178341201119203,0.03319495706754859,False
Group_C3_dragon_100k_1.5x,C,1.0,0.2822799088404785,1.0,0.40882896847016215,True
Group_C4_happy_50k_0.75x,C,1.6621244595083648,0.10003759946593412,1.0,0.41052478111739477,True
Group_C5_lucy_50k,C,1.0,0.015085826536014917,1.0320771812543488,0.032880349291365164,False
Group_C6_nefertiti_100k,C,2.2685387166172277,0.018178190775086134,2.5036124100654242,0.03336377099623238,False
Group_C7_liver_19k,C,1.4830743245252498,0.21503825170156768,2.6128619942276337,0.03335609763583766,False
Group_C8_kidney_12k,C,1.1041639163839514,0.018178190775086134,1.1107672631249,0.03352491156452145,False
Group_D10_37416,D,1.0542852468356594,0.015323700708251165,1.0039751620669384,0.03319495706754859,False
Group_D1_37009,D,1.0,0.31592759417131544,1.363701930476701,0.03321030378833803,False
Group_D6_37111,D,1.0,0.3125589889580344,1.018216121281805,0.1589997007389446,True
Group_D7_37137,D,1.1263621843831357,0.09871778147804268,1.0,0.15943708228144352,True
Group_D8_37402,D,1.0,0.3260180630903692,1.0,0.3842588684862762,True
Group_D9_37415,D,1.0,0.3459841468374245,1.0,0.155700155769216,True
Group_E10_65942,E,1.310893131395959,0.2978951972437289,1.7616112085120645,0.03321030378833803,False
Group_E1_39507,E,1.2749998291906608,0.07411698805257787,1.2543476554291781,0.03304916322004896,False
Group_E2_45809,E,1.0540540456206573,0.0167739658228528,1.2162161824826287,0.032888022651759885,False
Group_E2_790253,E,1.9248130269365797,0.10514805748881607,1.1060095046375582,0.15696626023434443,True
Group_E4_439142,E,1.002951544276334,0.0937300972214762,1.0,0.45348792596741894,True
Group_E4_46012,E,1.085717509790608,0.017556648583114003,1.0003807045429256,0.03319495706754859,False
Group_E5_55280,E,1.147954987160484,0.12186063642851114,1.0,0.4008179802180769,True
Group_E7_61384,E,1.1631958252108923,0.05208677035934347,1.1204116212733026,0.03320263042794331,False
Group_E9_82675,E,1.0,0.046162936134621434,1.2155369524365036,0.032880349291365164,False
