mesh,group,stage,triggered,trigger_reasons,face_count,candidate_count,candidate_center_count,window_degrees,full_grid_cells,local_cell_count,local_budget_fraction,bbox_volume,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,normalized_local_vss,seed_to_local_gain
Group_A5_torus,A,base_top_k,True,high_normalized_support;low_seed_to_local_gain,2304,1292,10,10.0,14641,393,0.02684242879584728,8192.0,327.0000056845094,80.99999883893577,668.4402296365785,9,90.00000250447816,102.00000283840859,741.2002598943789,1.1088504656539881,84.00000233751295,173.99999801180195,713.6002306110603,1.067560267877705,0.0871094031507642,1.0386771585817518
Group_A5_torus,A,happy_method,True,high_normalized_support;low_seed_to_local_gain,2304,1292,30,10.0,14641,1061,0.072467727614234,8192.0,327.0000056845094,80.99999883893577,668.4402296365785,18,92.99999917286618,86.99999900590097,733.0802353945645,1.0967027460228267,84.00000233751295,173.99999801180195,713.6002306110603,1.067560267877705,0.0871094031507642,1.0272982041595242
Group_A5_torus,A,adaptive_final,True,high_normalized_support;low_seed_to_local_gain,2304,1292,30,10.0,14641,1061,0.072467727614234,8192.0,327.0000056845094,80.99999883893577,668.4402296365785,18,92.99999917286618,86.99999900590097,733.0802353945645,1.0967027460228267,84.00000233751295,173.99999801180195,713.6002306110603,1.067560267877705,0.0871094031507642,1.0272982041595242
Group_B2_hook,B,base_top_k,False,high_normalized_support,1560,1292,10,10.0,14641,401,0.027388839560139336,3333.7422813926446,353.99998936037997,48.00000133572169,132.9199741940853,2,0.0,45.00000125223908,225.40010573450198,1.6957579709230177,353.99998936037997,48.00000133572169,132.9199741940853,1.0,0.03987110069544999,1.6957579709230177
Group_B2_hook,B,adaptive_final,False,high_normalized_support,1560,1292,10,10.0,14641,401,0.027388839560139336,3333.7422813926446,353.99998936037997,48.00000133572169,132.9199741940853,2,0.0,45.00000125223908,225.40010573450198,1.6957579709230177,353.99998936037997,48.00000133572169,132.9199741940853,1.0,0.03987110069544999,1.6957579709230177
Group_C1_Bunny_69k,C,base_top_k,False,boundary_local_minimum;low_seed_to_local_gain,69662,1292,10,10.0,14641,319,0.021788129226145755,329847.7240470774,234.0000133418324,54.0000015026869,5146.688666225465,1,66.00000183661733,128.9999933444683,5734.201797769089,1.1141536179173048,234.0000133418324,54.0000015026869,5146.688666225465,1.0,0.015603226249609971,1.1141536179173048
Group_C1_Bunny_69k,C,adaptive_final,False,boundary_local_minimum;low_seed_to_local_gain,69662,1292,10,10.0,14641,319,0.021788129226145755,329847.7240470774,234.0000133418324,54.0000015026869,5146.688666225465,1,66.00000183661733,128.9999933444683,5734.201797769089,1.1141536179173048,234.0000133418324,54.0000015026869,5146.688666225465,1.0,0.015603226249609971,1.1141536179173048
Group_C2_manikin,C,base_top_k,False,boundary_local_minimum;low_seed_to_local_gain,13672,1292,10,10.0,14641,231,0.015777610818933134,781290.2312873882,12.000000333930423,173.99999801180195,5016.0810967122225,1,183.00000167734436,353.99998936037997,7444.96150450273,1.4842187279193935,12.000000333930423,173.99999801180195,5016.0810967122225,1.0,0.006420253186126318,1.4842187279193935
Group_C2_manikin,C,adaptive_final,False,boundary_local_minimum;low_seed_to_local_gain,13672,1292,10,10.0,14641,231,0.015777610818933134,781290.2312873882,12.000000333930423,173.99999801180195,5016.0810967122225,1,183.00000167734436,353.99998936037997,7444.96150450273,1.4842187279193935,12.000000333930423,173.99999801180195,5016.0810967122225,1.0,0.006420253186126318,1.4842187279193935
Group_C3_dragon_100k_1.5x,C,base_top_k,False,low_seed_to_local_gain,99999,1292,10,10.0,14641,419,0.02861826377979646,1487645.696065514,161.99999767787153,257.9999866889366,24446.98002712786,6,351.0000063523703,281.9999873567974,36978.81619792339,1.5126128526668507,332.9999990212855,281.9999873567974,30080.671152792685,1.2304452786975464,0.02022031941634305,1.2293215138083873
Group_C3_dragon_100k_1.5x,C,adaptive_final,False,low_seed_to_local_gain,99999,1292,10,10.0,14641,419,0.02861826377979646,1487645.696065514,161.99999767787153,257.9999866889366,24446.98002712786,6,351.0000063523703,281.9999873567974,36978.81619792339,1.5126128526668507,332.9999990212855,281.9999873567974,30080.671152792685,1.2304452786975464,0.02022031941634305,1.2293215138083873
Group_C4_happy_50k_0.75x,C,base_top_k,True,high_normalized_support;low_seed_to_local_gain,49944,1292,10,10.0,14641,350,0.023905470937777475,349764.91179481667,90.00000250447816,92.99999917286618,6592.139724857551,3,251.99999335216052,288.00000801433015,23639.41098047682,3.5859996855554575,80.99999883893577,246.0000000153845,21365.581465161536,3.241069266871952,0.06108554844888293,1.1064248833584502
Group_C4_happy_50k_0.75x,C,happy_method,True,high_normalized_support;low_seed_to_local_gain,49944,1292,30,10.0,14641,982,0.06707192131684994,349764.91179481667,90.00000250447816,92.99999917286618,6592.139724857551,30,86.99999900590097,96.00000267144338,13382.015149455425,2.0299956778820545,90.00000250447816,92.99999917286618,6592.139724857551,1.0,0.018847344323448638,2.0299956778820545
Group_C4_happy_50k_0.75x,C,adaptive_final,True,high_normalized_support;low_seed_to_local_gain,49944,1292,30,10.0,14641,982,0.06707192131684994,349764.91179481667,90.00000250447816,92.99999917286618,6592.139724857551,30,86.99999900590097,96.00000267144338,13382.015149455425,2.0299956778820545,90.00000250447816,92.99999917286618,6592.139724857551,1.0,0.018847344323448638,2.0299956778820545
Group_C5_lucy_50k,C,base_top_k,False,low_seed_to_local_gain,49999,1292,10,10.0,14641,301,0.02055870500648863,1133888.2427607272,176.99999468018999,353.99998936037997,10036.132552407005,1,356.9999996891463,176.99999468018999,12392.68050706091,1.2348063800820093,356.9999996891463,176.99999468018999,12392.68050706091,1.2348063800820093,0.010929366792698996,1.0
