mesh,coarse_count,top_k,window_degrees,candidate_pool_size,elapsed_sec,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,pool_oracle_vss,pool_oracle_ratio,pool_hard_case,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_cell_count,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,local_hard_case
Group_C1_Bunny_69k.ply,512,3,10.0,1292,1.6212340000056429,265.00000168247254,48.9999990868195,3201.394288007878,4665.845681813137,1.457441746332514,False,1,67.00000300280972,128.9999933444683,4665.845681813137,1.457441746332514,1086,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,False
Group_C1_Bunny_69k.ply,512,10,10.0,1292,1.6212340000056429,265.00000168247254,48.9999990868195,3201.394288007878,4665.845681813137,1.457441746332514,False,1,67.00000300280972,128.9999933444683,4665.845681813137,1.457441746332514,2707,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,False
Group_C1_Bunny_69k.ply,512,20,10.0,1292,1.6212340000056429,265.00000168247254,48.9999990868195,3201.394288007878,4665.845681813137,1.457441746332514,False,1,67.00000300280972,128.9999933444683,4665.845681813137,1.457441746332514,3763,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,False
Group_C1_Bunny_69k.ply,1024,3,10.0,1804,2.2992628999927547,265.00000168247254,48.9999990868195,3201.394288007878,4789.521378919113,1.4960735692133298,False,2,255.9999980169301,36.99999875288908,8706.647502489326,2.7196423555522697,1260,261.99999135370615,45.00000125223908,5934.148780570543,1.8536138465665746,False
Group_C1_Bunny_69k.ply,1024,10,10.0,1804,2.2992628999927547,265.00000168247254,48.9999990868195,3201.394288007878,4789.521378919113,1.4960735692133298,False,9,69.99999967119774,132.00000367323466,6355.917158205647,1.9853590612110215,2807,265.00000168247254,48.9999990868195,3201.394288007878,1.0,False
Group_C1_Bunny_69k.ply,1024,20,10.0,1804,2.2992628999927547,265.00000168247254,48.9999990868195,3201.394288007878,4789.521378919113,1.4960735692133298,False,18,231.00000301306605,54.0000015026869,5279.21097337707,1.6490349199261392,4330,265.00000168247254,48.9999990868195,3201.394288007878,1.0,False
Group_C1_Bunny_69k.ply,2048,3,10.0,2828,3.5711511000117753,265.00000168247254,48.9999990868195,3201.394288007878,5146.688666225465,1.607639735444171,False,2,75.99999983816295,140.9999936783987,8474.773611904177,2.6472133231604373,1029,73.00000316977493,130.99999567685308,4265.161092616309,1.3322823460369133,False
Group_C1_Bunny_69k.ply,2048,10,10.0,2828,3.5711511000117753,265.00000168247254,48.9999990868195,3201.394288007878,5146.688666225465,1.607639735444171,False,8,59.00000050345972,127.00000467246183,6214.328541243372,1.9411318888528233,2288,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,False
Group_C1_Bunny_69k.ply,2048,20,10.0,2828,3.5711511000117753,265.00000168247254,48.9999990868195,3201.394288007878,5146.688666225465,1.607639735444171,False,13,54.0000015026869,123.99999434369548,5345.850444037067,1.6698506847663594,4089,67.99999733881295,128.9999933444683,3390.7634167631795,1.0591520792876592,False
Group_C1_Bunny_69k.ply,4096,3,10.0,4876,6.241795800000546,265.00000168247254,48.9999990868195,3201.394288007878,5186.532154556148,1.620085402783534,False,2,254.00000934492365,41.00000000256408,7777.902213009921,2.429535856343972,1239,270.00000068324533,205.0000000128204,5298.160324411944,1.654954013086846,False
