mesh,top_k,window_degrees,min_angle_degrees,face_count,candidate_pool_size,full_grid_cells,local_cell_count,local_budget_fraction,candidate_budget_fraction,tomo_best_yaw,tomo_best_pitch,tomo_best_vss,pool_oracle_vss,pool_oracle_ratio,seed_best_rank,seed_best_yaw,seed_best_pitch,seed_best_vss,seed_best_ratio,local_best_yaw,local_best_pitch,local_best_vss,local_best_ratio,elapsed_sec
Group_C1_Bunny_69k.ply,1,10.0,3.0,69662,1292,130321,400,0.0030693441578870636,0.0007739938080495357,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,1,67.00000300280972,128.9999933444683,5217.859567689501,1.1751043590047385,59.00000050345972,127.99999900846505,4631.5493662495255,1.043062539077771,1.6220939999911934
Group_C1_Bunny_69k.ply,2,10.0,3.0,69662,1292,130321,799,0.006131014955379409,0.0015479876160990713,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,1,67.00000300280972,128.9999933444683,5217.859567689501,1.1751043590047385,59.00000050345972,127.99999900846505,4631.5493662495255,1.043062539077771,1.6220939999911934
Group_C1_Bunny_69k.ply,3,10.0,3.0,69662,1292,130321,1086,0.008333269388663377,0.0023219814241486067,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,1,67.00000300280972,128.9999933444683,5217.859567689501,1.1751043590047385,59.00000050345972,127.99999900846505,4631.5493662495255,1.043062539077771,1.6220939999911934
Group_C1_Bunny_69k.ply,4,10.0,3.0,69662,1292,130321,1506,0.011556080754444795,0.0030959752321981426,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,1,67.00000300280972,128.9999933444683,5217.859567689501,1.1751043590047385,59.00000050345972,127.99999900846505,4631.5493662495255,1.043062539077771,1.6220939999911934
Group_C1_Bunny_69k.ply,5,10.0,3.0,69662,1292,130321,1689,0.012960305706678126,0.003869969040247678,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,51.000001419204295,125.00000234007703,4509.153444904927,1.0154979833762219,1.6220939999911934
Group_C1_Bunny_69k.ply,6,10.0,3.0,69662,1292,130321,2109,0.016183117072459542,0.0046439628482972135,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,51.000001419204295,125.00000234007703,4509.153444904927,1.0154979833762219,1.6220939999911934
Group_C1_Bunny_69k.ply,7,10.0,3.0,69662,1292,130321,2165,0.016612825254563732,0.005417956656346749,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,51.000001419204295,125.00000234007703,4509.153444904927,1.0154979833762219,1.6220939999911934
Group_C1_Bunny_69k.ply,8,10.0,3.0,69662,1292,130321,2515,0.019298501392714912,0.006191950464396285,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,1.6220939999911934
Group_C1_Bunny_69k.ply,9,10.0,3.0,69662,1292,130321,2547,0.019544048925345878,0.00696594427244582,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,1.6220939999911934
Group_C1_Bunny_69k.ply,10,10.0,3.0,69662,1292,130321,2707,0.020771786588500703,0.007739938080495356,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,1.6220939999911934
Group_C1_Bunny_69k.ply,11,10.0,3.0,69662,1292,130321,2739,0.021017334121131666,0.008513931888544891,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,1.6220939999911934
Group_C1_Bunny_69k.ply,12,10.0,3.0,69662,1292,130321,3033,0.02327330207717866,0.009287925696594427,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,1.6220939999911934
Group_C1_Bunny_69k.ply,13,10.0,3.0,69662,1292,130321,3181,0.024408959415596874,0.010061919504643963,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,1.6220939999911934
Group_C1_Bunny_69k.ply,14,10.0,3.0,69662,1292,130321,3213,0.024654506948227836,0.010835913312693499,299.000000351879,36.99999875288908,4440.337173209703,4527.99146825617,1.0197404592550583,5,56.000000419977106,127.99999900846505,4709.390569324336,1.0605930103096535,230.00000867706282,54.0000015026869,4505.873711641169,1.0147593608041465,1.6220939999911934
