policy,mesh_count,mean_local_ratio,median_local_ratio,p80_local_ratio,max_local_ratio,mean_local_cell_count,mean_local_budget_fraction,median_local_budget_fraction,count_ratio_le_1_25,count_ratio_le_1_50,count_ratio_le_2_00
SFTF top-20 local,5,1.1353767640625023,1.0,1.1442323805449903,1.6621244595083648,4424.8,0.033953085074546696,0.031291963689658614,4,4,5
Uniform matched local,5,1.0825884578734812,1.0713854605623532,1.1313767888704993,1.1698993884675477,4406.0,0.033808825899126004,0.031291963689658614,5,5,5
Random matched local (median),5,1.36105811835844,1.1907666198935098,1.5526413355442092,1.8598430975363827,4412.4,0.0338579354056522,0.03127661696886918,3,4,5
