name,mesh_stem,family,group_id,split_group,source,angle_step,critical_angle,grid_path,candidate_path,tomo_best_vss,oracle_ratio,untuned_J_ratio
Group_B4_pipe_elbow_3deg_45deg,Group_B4_pipe_elbow,B,B4,B,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_B4_pipe_elbow_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_B4_pipe_elbow_candidates.csv,11.640000503417873,1.3333333608851679,6.759450664913929
Group_B5_hollow_box_3deg_0deg,Group_B5_hollow_box,B,B5,B,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_B5_hollow_box_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_B5_hollow_box_candidates.csv,5187.706021237965,1.0070007720818397,1.0074789671556137
Group_B5_hollow_box_3deg_30deg,Group_B5_hollow_box,B,B5,B,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_B5_hollow_box_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_B5_hollow_box_candidates.csv,4733.951623774757,1.0,1.104046918843728
Group_C1_Bunny_69k_3deg_0deg,Group_C1_Bunny_69k,C,C1,C,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,49783.844593142676,1.005442051832993,1.3599039145268008
Group_C1_Bunny_69k_3deg_30deg,Group_C1_Bunny_69k,C,C1,C,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,23663.82031401327,1.0742438327064483,1.4882627661569319
Group_C1_Bunny_69k_3deg_45deg,Group_C1_Bunny_69k,C,C1,C,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,13970.321860195192,1.142574373890088,1.4203593213004801
Group_C1_Bunny_69k_3deg_60deg,Group_C1_Bunny_69k,C,C1,C,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C1_Bunny_69k_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C1_Bunny_69k_candidates.csv,5146.688666225465,1.0,1.5338887825421135
Group_C2_manikin_3deg_0deg,Group_C2_manikin,C,C2,C,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,48237.769071720846,1.01149405004365,3.253313360446397
Group_C2_manikin_3deg_30deg,Group_C2_manikin,C,C2,C,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,36182.052832989655,1.0128619944407116,2.0527898223700527
Group_C2_manikin_3deg_45deg,Group_C2_manikin,C,C2,C,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,27812.445459287028,1.0,1.7139881811810829
Group_C2_manikin_3deg_60deg,Group_C2_manikin,C,C2,C,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C2_manikin_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C2_manikin_candidates.csv,5016.0810967122225,1.0549911267570087,3.85603849448598
Group_C3_dragon_100k_1.5x_3deg_0deg,Group_C3_dragon_100k_1.5x,C,C3,C,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,217046.31206417872,1.0193688536591317,1.8444383858196807
Group_C3_dragon_100k_1.5x_3deg_30deg,Group_C3_dragon_100k_1.5x,C,C3,C,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,119415.71669145064,1.0342815954204523,1.8045282380771255
Group_C3_dragon_100k_1.5x_3deg_45deg,Group_C3_dragon_100k_1.5x,C,C3,C,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,84497.12075477789,1.0056224348929186,1.3152257294231775
Group_C3_dragon_100k_1.5x_3deg_60deg,Group_C3_dragon_100k_1.5x,C,C3,C,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C3_dragon_100k_1.5x_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C3_dragon_100k_1.5x_candidates.csv,24446.98002712786,1.0,1.8505158253665277
Group_C4_happy_50k_0.75x_3deg_0deg,Group_C4_happy_50k_0.75x,C,C4,C,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,61815.58498666306,1.0555326335432822,1.2537774038288063
Group_C4_happy_50k_0.75x_3deg_30deg,Group_C4_happy_50k_0.75x,C,C4,C,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,33012.18127416185,1.144964694481414,1.5618071297200116
Group_C4_happy_50k_0.75x_3deg_45deg,Group_C4_happy_50k_0.75x,C,C4,C,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,20912.9211331202,1.1495551010205556,1.826505085535608
Group_C4_happy_50k_0.75x_3deg_60deg,Group_C4_happy_50k_0.75x,C,C4,C,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C4_happy_50k_0.75x_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C4_happy_50k_0.75x_candidates.csv,6592.139724857551,1.154225632490849,3.4701340454366383
Group_C5_lucy_50k_3deg_0deg,Group_C5_lucy_50k,C,C5,C,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,153809.30309453286,1.0003126830325642,1.388942847465305
Group_C5_lucy_50k_3deg_30deg,Group_C5_lucy_50k,C,C5,C,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,69481.02210178848,1.0,1.1335183161834168
Group_C5_lucy_50k_3deg_45deg,Group_C5_lucy_50k,C,C5,C,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,37083.20018673731,1.0,1.159594378868067
Group_C5_lucy_50k_3deg_60deg,Group_C5_lucy_50k,C,C5,C,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_C5_lucy_50k_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_C5_lucy_50k_candidates.csv,10036.132552407005,1.0,1.2348063800820093
Group_D10_37416_3deg_0deg,Group_D10_37416,D,D10,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D10_37416_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D10_37416_candidates.csv,1619.9202576944651,1.0883499447165705,3.311768133147312
Group_D1_37009_3deg_0deg,Group_D1_37009,D,D1,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D1_37009_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D1_37009_candidates.csv,65813.50988592983,1.0145308535961097,1.5173549251392158
Group_D1_37009_3deg_30deg,Group_D1_37009,D,D1,D,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D1_37009_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D1_37009_candidates.csv,4729.440389585889,1.0230134086479614,13.636000036662972
Group_D1_37009_3deg_45deg,Group_D1_37009,D,D1,D,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D1_37009_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D1_37009_candidates.csv,1060.6003694297854,1.0067884636061761,46.28583676894027
Group_D2_37010_3deg_0deg,Group_D2_37010,D,D2,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D2_37010_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D2_37010_candidates.csv,8219.800704766896,1.0720503639158485,7.01194770638628
Group_D3_37011_3deg_0deg,Group_D3_37011,D,D3,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,9313.420815901323,1.0,1.59293615588931
Group_D3_37011_3deg_30deg,Group_D3_37011,D,D3,D,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,7962.745575865438,1.0,1.4336990867207884
Group_D3_37011_3deg_45deg,Group_D3_37011,D,D3,D,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,1899.2006532416856,1.0491364939209253,5.873834096417957
Group_D3_37011_3deg_60deg,Group_D3_37011,D,D3,D,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_D3_37011_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_D3_37011_candidates.csv,103.72001739326588,1.2279212095410137,98.54594132457714
Group_D4_37091_3deg_0deg,Group_D4_37091,D,D4,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D4_37091_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D4_37091_candidates.csv,3810.241448977762,1.0,1.0
Group_D4_37091_3deg_30deg,Group_D4_37091,D,D4,D,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D4_37091_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D4_37091_candidates.csv,709.3202722959282,1.0,1.0952461394947013
Group_D4_37091_3deg_45deg,Group_D4_37091,D,D4,D,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D4_37091_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D4_37091_candidates.csv,167.00000740772435,1.272814406274165,4.010300730484651
Group_D5_37095_3deg_0deg,Group_D5_37095,D,D5,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D5_37095_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D5_37095_candidates.csv,5226.24264078692,1.0418500479476032,1.0915144147253715
Group_D5_37095_3deg_30deg,Group_D5_37095,D,D5,D,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_D5_37095_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_D5_37095_candidates.csv,3624.042203603697,1.0050329878012147,1.1094578849258703
Group_D5_37095_3deg_45deg,Group_D5_37095,D,D5,D,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_D5_37095_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_D5_37095_candidates.csv,29.000001459205446,1.2413792783126263,125.33521048745074
Group_D6_37111_3deg_0deg,Group_D6_37111,D,D6,D,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_D6_37111_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_D6_37111_candidates.csv,99196.68623238556,1.0433482148638864,1.5674199757870884
