name,mesh_stem,family,group_id,split_group,source,angle_step,critical_angle,grid_path,candidate_path,tomo_best_vss,oracle_ratio,untuned_J_ratio
Group_E3_45811_3deg_30deg,Group_E3_45811,E,E3,E,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E3_45811_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E3_45811_candidates.csv,34737.6618503539,1.0151615412548955,2.2381051834122547
Group_E3_45811_3deg_45deg,Group_E3_45811,E,E3,E,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_E3_45811_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_E3_45811_candidates.csv,18146.859712837155,1.0497514204275546,2.6220088825651406
Group_E3_45811_3deg_60deg,Group_E3_45811,E,E3,E,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_E3_45811_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_E3_45811_candidates.csv,7292.647992283844,1.0378459362391832,2.512300473035363
Group_E4_46012_3deg_0deg,Group_E4_46012,E,E4,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E4_46012_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E4_46012_candidates.csv,281322.13245738635,1.0023056296182073,1.0326382077814495
Group_E4_46012_3deg_30deg,Group_E4_46012,E,E4,E,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E4_46012_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E4_46012_candidates.csv,138894.19933981146,1.0039719505252809,1.0565794694260362
Group_E4_46012_3deg_45deg,Group_E4_46012,E,E4,E,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_E4_46012_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_E4_46012_candidates.csv,65162.74144826842,1.0130906442705911,1.1687439981029788
Group_E4_46012_3deg_60deg,Group_E4_46012,E,E4,E,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_E4_46012_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_E4_46012_candidates.csv,20004.763090906064,1.0880787279516555,1.1891649190904467
Group_E5_55280_3deg_0deg,Group_E5_55280,E,E5,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E5_55280_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E5_55280_candidates.csv,496380.5458762429,1.0164498928383499,1.3281806400229152
Group_E5_55280_3deg_30deg,Group_E5_55280,E,E5,E,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E5_55280_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E5_55280_candidates.csv,287175.5489633103,1.0487107152749198,1.4125532177200173
Group_E5_55280_3deg_45deg,Group_E5_55280,E,E5,E,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_E5_55280_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_E5_55280_candidates.csv,180551.32400891013,1.0999646585358018,1.3818851248755015
Group_E5_55280_3deg_60deg,Group_E5_55280,E,E5,E,g5_3deg_60deg,3deg,60deg,Experimental\G5Test\tomo_int3_cache\Group_E5_55280_tomo_int3_3deg_60deg.npz,Experimental\G5Test\SFTF_result\Group_E5_55280_candidates.csv,80136.25972527117,1.0,1.3303617092257845
Group_E6_59197_3deg_0deg,Group_E6_59197,E,E6,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E6_59197_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E6_59197_candidates.csv,102.1199975131957,1.0759889874003898,1.2279670375721148
Group_E7_61384_3deg_0deg,Group_E7_61384,E,E7,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E7_61384_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E7_61384_candidates.csv,75041.0458273139,1.0,1.175323271051939
Group_E7_61384_3deg_30deg,Group_E7_61384,E,E7,E,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E7_61384_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E7_61384_candidates.csv,21137.96068617135,1.0,2.1729331137034134
Group_E7_61384_3deg_45deg,Group_E7_61384,E,E7,E,g5_3deg_45deg,3deg,45deg,Experimental\G5Test\tomo_int3_cache\Group_E7_61384_tomo_int3_3deg_45deg.npz,Experimental\G5Test\SFTF_result\Group_E7_61384_candidates.csv,17587.73858882179,1.0,1.9801776098880937
Group_E8_64445_3deg_0deg,Group_E8_64445,E,E8,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E8_64445_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E8_64445_candidates.csv,13777.221148216035,1.0595257696037637,2.210197478856505
Group_E8_64445_3deg_30deg,Group_E8_64445,E,E8,E,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E8_64445_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E8_64445_candidates.csv,1158.2095224984785,4.3135919104845195,9.77986150733844
Group_E9_64446_3deg_0deg,Group_E9_64446,E,E9,E,g5_3deg_0deg,3deg,0deg,Experimental\G5Test\tomo_int3_cache\Group_E9_64446_tomo_int3_3deg_0deg.npz,Experimental\G5Test\SFTF_result\Group_E9_64446_candidates.csv,13777.221148216035,1.0595257696037637,2.210197478856505
Group_E9_64446_3deg_30deg,Group_E9_64446,E,E9,E,g5_3deg_30deg,3deg,30deg,Experimental\G5Test\tomo_int3_cache\Group_E9_64446_tomo_int3_3deg_30deg.npz,Experimental\G5Test\SFTF_result\Group_E9_64446_candidates.csv,1158.2095224984785,4.3135919104845195,9.77986150733844
