group,group_id,mesh,face_count,candidate_pool_size,score_min,score_median,score_max,top1_score,top1_x,top1_y,top1_z,top1_hit,top2_score,top3_score,elapsed_sec,tomo_int3_dll_sec,tomo_cuda_dll_sec,sftf_cpp_ms,html
C,C2,Group_C2_manikin.ply,13672,1292,-0.02847962819519667,1.078622850503486,2.353742370255616,-0.02847962819519667,0.10879496012099496,-0.027879469372241217,-0.9936731816043912,134,0.12013694810224673,0.1257776917118516,1.0244518000399694,4.416869499953464,3.699864499969408,44.2999,Group_C2_manikin.html
C,C3,Group_C3_dragon_100k_1.5x.ply,99999,1292,-0.06508079008520484,1.107681216111542,2.2639856700232377,-0.06508079008520484,0.983007624520949,0.09526506983047107,0.15690945351978114,970,-0.0418177381874516,-0.026708830364058578,3.174526200047694,9.622971800039522,12.151131400023587,323.3228,Group_C3_dragon_100k_1.5x.html
C,C4,Group_C4_happy_50k_0.75x.ply,49944,1292,-0.507567467079783,1.0257090627420604,3.1025361735089083,-0.507567467079783,0.913570211502454,0.3746481548007355,-0.158203125,240,-0.42693524399690097,-0.375486909372579,1.5037245999556035,5.914739300031215,6.569998800056055,130.0654,Group_C4_happy_50k_0.75x.html
C,C5,Group_C5_lucy_50k.ply,49999,1292,-0.7001813323005417,1.2177348567002326,2.837563284275755,-0.7001813323005417,-0.05820251023089405,0.040357872118255256,-0.9974887016708055,542,-0.6652532145623546,-0.5514936483346242,1.8741692999610677,6.395875099929981,8.826587400049902,172.479,Group_C5_lucy_50k.html
D,D1,Group_D1_37009.stl,23909,1292,-0.7766,1.102,3.028,-0.7766,-0.984,-0.162,0.072,57,-0.544,-0.5041,1.37,6.328978799981996,13.859944900032133,114.5,Group_D1_37009.html
D,D2,Group_D2_37010.stl,13247,1292,-0.6905,1.067,2.7,-0.6905,-0.579,-0.803,0.143,35,-0.6815,-0.6781,1.24,5.363803999964148,13.817748999921605,63.5,Group_D2_37010.html
D,D3,Group_D3_37011.stl,17288,1292,-0.6791,1.09,2.929,-0.6791,-0.04,0.084,-0.996,82,-0.6063,-0.5621,1.15,5.343967099906877,5.937021999969147,89.2,Group_D3_37011.html
D,D4,Group_D4_37091.stl,256,1292,-0.5613,1.088,2.409,-0.5613,-0.057,-0.985,0.162,42,-0.5051,-0.4772,0.36,4.188853399944492,2.0676885000430048,5.2,Group_D4_37091.html
D,D5,Group_D5_37095.stl,468,1292,-0.9582,1.004,2.716,-0.9582,-0.981,0.192,0.021,65,-0.562,-0.5308,0.49,4.179781400016509,3.720622600056231,6.2,Group_D5_37095.html
D,D6,Group_D6_37111.stl,88106,1292,-1.019,1.058,2.908,-1.019,0.969,-0.174,-0.178,386,-0.9396,-0.8954,3.42,12.685268700006418,21.76841139991302,465.4,Group_D6_37111.html
D,D7,Group_D7_37137.stl,64078,1292,-0.9211,1.104,3.256,-0.9211,-0.457,0.09,-0.885,434,-0.5318,-0.5015,2.9,9.714586499962024,22.680629800073802,305.5,Group_D7_37137.html
D,D8,Group_D8_37402.stl,8322,1292,-0.01381,1.016,2.513,-0.01381,0.602,0.434,-0.67,119,0.04701,0.04793,2.43,4.849037199979648,6.9717702000634745,49.7,Group_D8_37402.html
D,D9,Group_D9_37415.stl,13340,1292,-0.8689,1.097,2.808,-0.8689,0.31,0.95,0.045,77,-0.821,-0.5174,2.96,5.44492070004344,11.816895099938847,65.4,Group_D9_37415.html
D,D10,Group_D10_37416.stl,12036,1292,-0.8235,0.9548,3.163,-0.8235,-0.905,-0.416,-0.092,496,-0.6578,-0.5468,3.39,4.767585800029337,6.154456799966283,80.4,Group_D10_37416.html
D,D10,Group_D10_65942.stl,754688,1292,-1.334347017815647,0.7482599535243999,4.4429484895429905,-1.334347017815647,0.6800440674410703,-0.7220905322768177,0.1269855485257563,1175,-1.2407228505034857,-1.141272811773819,22.65580389997922,103.85742429993115,114.71561229997315,3494.084,Group_D10_65942.html
E,E1,Group_E1_39507.stl,969520,1292,-1.239,1.047,3.685,-1.239,0.238,-0.164,-0.957,562,-1.023,-0.7375,16.92,130.42089660000056,133.8206266000634,4387.6,Group_E1_39507.html
E,E2,Group_E2_45809.stl,517589,1292,-1.592,0.5385,4.742,-1.592,0.109,-0.028,-0.994,107,-1.39,-1.364,9.71,65.88201850000769,75.08685740001965,1984.5,Group_E2_45809.html
E,E3,Group_E3_45811.stl,1037876,1292,-0.6547,0.9761,3.865,-0.6547,-0.124,0.241,-0.963,1309,-0.495,-0.4691,18.69,139.94603809993714,147.09496539994143,4515.6,Group_E3_45811.html
E,E4,Group_E4_46012.stl,638754,1292,-1.581,0.8354,4.054,-1.581,-0.028,-0.043,0.999,50,-1.426,-1.223,11.15,84.4141025999561,101.95768950006459,2583.8,Group_E4_46012.html
E,E5,Group_E5_55280.stl,900490,1292,-1.051,1.138,2.754,-1.051,-0.682,0.682,-0.264,1072,-0.6833,-0.6386,16.78,119.64028109994251,139.19520129996818,3957.9,Group_E5_55280.html
E,E6,Group_E6_59197.stl,786432,1292,-1.056,0.8242,4.445,-1.056,-0.005,-0.634,-0.773,699,-0.9385,-0.9066,17.5,100.12328980001621,107.37325370009057,4119.5,Group_E6_59197.html
E,E7,Group_E7_61384.stl,516608,1292,-0.5539,1.072,2.451,-0.5539,0.414,0.15,-0.898,1766,-0.3896,-0.3845,12.85,67.71647420001682,81.0416790000163,2065.0,Group_E7_61384.html
E,E8,Group_E8_64445.obj,514938,1292,-0.9824,1.129,2.711,-0.9824,0.042,-0.963,-0.268,2288,-0.919,-0.7005,15.05,22.43557799991686,32.09254730003886,2208.0,Group_E8_64445.html
E,E9,Group_E9_64446.obj,514938,1292,-0.9824,1.129,2.711,-0.9824,0.042,-0.963,-0.268,2288,-0.919,-0.7005,14.93,21.947521499940194,32.119426000048406,2211.4,Group_E9_64446.html
E,E10,Group_E10_65942.stl,754688,1292,-1.334,0.7483,4.443,-1.334,0.68,-0.722,0.127,1175,-1.241,-1.141,22.11,106.66190440009814,114.03234010003507,3201.6,Group_E10_65942.html
