tuned_score,rayleigh,pair,bed,hit,dir_x,dir_y,dir_z,sigma1,sigma2,sigma3
0.30733501161890003,0.0,0.0,139.55337295364154,0,0.062469474967654204,0.0,0.998046875,0.0,0.0,0.0
0.08970573199070488,0.0,0.0,138.41163944990365,0,-0.07970550925776411,0.07301677559691234,0.994140625,0.0,0.0,0.0
0.4335858249419055,0.0,0.0,140.05933269276724,0,0.012188250577684002,-0.13887882889848602,0.990234375,0.0,0.0,0.0
0.4418893106119287,0.0,0.0,140.09915450035115,0,0.10026664425820996,0.1307800821347882,0.986328125,0.0,0.0,0.0
0.46016041828040277,0.0,0.0,140.12700710408822,0,-0.18382060889430765,-0.03251527744323202,0.982421875,0.0,0.0,0.0
0.8339433772269559,0.0,0.0,141.85941076185426,0,0.1739592855920794,-0.11065865798550392,0.978515625,0.0,0.0,0.0
0.694393803253292,0.0,0.0,141.2076579587199,0,-0.058128508926850474,0.21623515581896122,0.974609375,0.0,0.0,0.0
0.7591804802478699,0.0,0.0,141.51062946458305,0,-0.11074766515651636,-0.2132378901077726,0.970703125,0.0,0.0,0.0
0.6628239349341595,0.0,0.0,141.09828415602715,0,0.24003988154455913,0.08766217974878567,0.966796875,0.0,0.0,0.0
0.9817849728892332,0.0,0.0,142.93762310359762,0,-0.24947338970723795,0.10297898870687149,0.962890625,0.0,0.0,0.0
1.0249751355538341,0.0,0.0,143.23681768907932,0,0.1201429348645927,-0.2567384733692666,0.958984375,0.0,0.0,0.0
1.0033757552285052,0.0,0.0,143.0871637688257,0,0.08869401168343155,0.2827704854435549,0.955078125,0.0,0.0,0.0
1.1562097598760648,0.0,0.0,144.32498433912676,0,-0.2670575897181702,-0.1547653319800848,0.951171875,0.0,0.0,0.0
1.1611907048799381,0.0,0.0,144.3304958066987,0,0.31297519267728063,-0.06880671814567538,0.947265625,0.0,0.0,0.0
1.2160097598760649,0.0,0.0,144.7199337612567,0,-0.19081221333524254,0.27141073825793127,0.943359375,0.0,0.0,0.0
1.1279595662277304,0.0,0.0,144.10984018615616,0,-0.044037713825955525,-0.33983599822372795,0.939453125,0.0,0.0,0.0
1.2708259488768394,0.0,0.0,146.0332179002903,0,0.27007597867755756,0.2276203207516716,0.935546875,0.0,0.0,0.0
1.3339513555383422,0.0,0.0,147.1207090839564,0,-0.3630706849491668,0.015014112699465605,0.931640625,0.0,0.0,0.0
1.2874329202168864,0.0,0.0,146.42484819921026,0,0.2645642804806867,-0.2632767952879553,0.927734375,0.0,0.0,0.0
1.3057040278853602,0.0,0.0,146.653042713534,0,-0.017682432750435708,0.3823989108653562,0.923828125,0.0,0.0,0.0
1.3272976762199844,0.0,0.0,146.88412920964726,0,-0.25122314556151143,-0.30104929003514364,0.919921875,0.0,0.0,0.0
1.3472300542215339,0.0,0.0,147.97244244614734,0,0.39756014768899,0.05349115558078569,0.916015625,0.0,0.0,0.0
1.3638398915569325,0.0,0.0,148.77297127884367,0,-0.33650835782783767,0.23413375055536376,0.912109375,0.0,0.0,0.0
1.3621757552285052,0.0,0.0,148.7030268493907,0,0.09185946479796593,-0.4083245308174193,0.908203125,0.0,0.0,0.0
1.3721405112316034,0.0,0.0,149.48329539678463,0,0.2122485838183753,0.37040207954644166,0.904296875,0.0,0.0,0.0
1.3821052672347018,0.0,0.0,150.42630258062619,0,-0.41449989020750244,-0.13223677034046838,0.900390625,0.0,0.0,0.0
1.3904087529047249,0.0,0.0,151.42036908695064,0,0.40221987383334906,-0.18583578362184208,0.896484375,0.0,0.0,0.0
1.3854220759101472,0.0,0.0,150.73763462945507,0,-0.17407215105825596,0.41593650596868276,0.892578125,0.0,0.0,0.0
1.38708048024787,0.0,0.0,150.916711469148,0,-0.15519515082517604,-0.4314820549505335,0.888671875,0.0,0.0,0.0
1.393722695584818,0.0,0.0,151.56074777798727,0,0.4125303683253367,0.21681439995471113,0.884765625,0.0,0.0,0.0
1.4020261812548411,0.0,0.0,152.5746874949328,0,-0.4577423583723017,0.12065941665022524,0.880859375,0.0,0.0,0.0
