tuned_score,rayleigh,pair,bed,hit,dir_x,dir_y,dir_z,sigma1,sigma2,sigma3
-1.3461142525174283,44522.48315178762,53842.77228704543,961.644294370778,4,0.062469474967654204,0.0,0.998046875,44633.350271402356,0.0,0.0
-0.8666449264136328,44327.69091442622,55743.15858608989,1051.7143093262473,6,-0.07970550925776411,0.07301677559691234,0.994140625,44661.21730704304,0.0,0.0
-0.8991601084430674,43711.27644663826,55499.51470502009,1044.6922842135202,6,0.012188250577684002,-0.13887882889848602,0.990234375,44260.73918914358,0.0,0.0
-0.6315279628195197,43145.901552224605,57160.248658295866,1126.0979914701888,6,0.10026664425820996,0.1307800821347882,0.986328125,43903.34877221342,0.0,0.0
-0.6903724244771495,42853.12488002344,56612.04293148212,1104.633762950195,6,-0.18382060889430765,-0.03251527744323202,0.982421875,43828.593697543125,1.0738452947535575e-12,0.0
-0.5569219209914793,42881.53336542605,57999.89551277786,1174.6075421512564,6,0.1739592855920794,-0.11065865798550392,0.978515625,44086.05278833134,0.0,0.0
-0.5661907823392713,42339.6151032703,57555.6524461903,1157.75846445875,6,-0.058128508926850474,0.21623515581896122,0.974609375,43748.77173041821,0.0,0.0
-0.5200096824167314,41661.80321938126,58508.20065820533,1207.8349861353693,6,-0.11074766515651636,-0.2132378901077726,0.970703125,43253.12979705934,0.0,0.0
-0.5124033307513557,41335.0058542852,58389.86806085115,1206.5294320141445,6,0.24003988154455913,0.08766217974878567,0.966796875,43134.61170414842,0.0,0.0
-0.4948681642137879,41405.1275516551,58762.212208644356,1229.0234585180103,6,-0.24947338970723795,0.10297898870687149,0.962890625,43446.407104883285,0.0,0.0
-0.47330286599535254,41108.51925878128,59127.06136627948,1251.3106813805775,6,0.1201429348645927,-0.2567384733692666,0.958984375,43358.964190279585,0.0,0.0
-0.4755466305189774,40305.48693943488,58795.664413978346,1239.5695040410249,6,0.08869401168343155,0.2827704854435549,0.955078125,42708.04223286214,0.0,0.0
-0.43983261037955057,39906.537448481045,59765.39449237689,1291.8160758330437,6,-0.2670575897181702,-0.1547653319800848,0.951171875,42491.193052084076,0.0,0.0
-0.4674088303640588,39935.07975007087,58626.28654067792,1240.2248407340653,6,0.31297519267728063,-0.06880671814567538,0.947265625,42775.18452516977,0.0,0.0
-0.40434771494965105,39967.20094451347,60297.78388976556,1327.5124813932287,6,-0.19081221333524254,0.27141073825793127,0.943359375,43044.42235515951,1.1170957673768704e-12,0.0
-0.4632466305189772,39041.207617321816,58265.02157969502,1231.504642551778,6,-0.044037713825955525,-0.33983599822372795,0.939453125,42238.46147492493,0.0,0.0
-0.37828404337722676,38559.7417751542,60715.24364808506,1357.778376557994,6,0.27007597867755756,0.2276203207516716,0.935546875,41896.97389885427,0.0,0.0
-0.47095577072037165,38496.555764691526,57719.9152845473,1213.859793808122,6,-0.3630706849491668,0.015014112699465605,0.931640625,42095.67367744654,0.0,0.0
-0.3577915569326102,38884.39406807641,61008.398490530875,1381.9829802854902,6,0.2645642804806867,-0.2632767952879553,0.927734375,42776.19785914551,0.0,0.0
-0.45305731990704823,37860.34618029741,57822.988208869196,1227.7496938974361,6,-0.017682432750435708,0.3823989108653562,0.923828125,41836.82038753623,0.0,0.0
-0.3336779240898532,37283.806416644846,61168.270752598764,1399.5336011350844,6,-0.25122314556151143,-0.30104929003514364,0.919921875,41351.04195265611,0.0,0.0
-0.41638202943454705,37113.78987863281,58601.952927677325,1274.977783708299,6,0.39756014768899,0.05349115558078569,0.916015625,41430.24337257566,0.0,0.0
-0.3203586367157243,37463.74183380762,61186.73597936332,1409.907888334515,6,-0.33650835782783767,0.23413375055536376,0.912109375,42092.321745666166,0.0,0.0
-0.36023663826491104,36756.496223340626,59338.0578747157,1320.7458003354516,6,0.09185946479796593,-0.4083245308174193,0.908203125,41497.907753917985,0.0,0.0
-0.2979243996901626,36066.33387308361,61056.80904997446,1412.6775096441015,6,0.2122485838183753,0.37040207954644166,0.904296875,40850.69207286255,0.0,0.0
-0.31655391169635966,35807.23796321761,60013.975942263074,1364.0880774496063,6,-0.41449989020750244,-0.13223677034046838,0.900390625,40799.47908944952,0.0,0.0
-0.29464237025561524,36059.23945904547,60772.8342521147,1407.5259534275967,6,0.40221987383334906,-0.18583578362184208,0.896484375,41383.85993941578,0.0,0.0
-0.2871731216111537,35718.80564230725,60613.36257612443,1404.052362500029,6,-0.17407215105825596,0.41593650596868276,0.892578125,41213.54004802932,0.0,0.0
-0.2876240123934929,34899.58286489243,60330.615231335745,1394.2615755280513,6,-0.15519515082517604,-0.4314820549505335,0.888671875,40394.2953026119,0.0,0.0
-0.2595039504260261,34578.185973483065,61120.932879436965,1439.7147146297098,6,0.4125303683253367,0.21681439995471113,0.884765625,40212.825143427304,0.0,0.0
-0.29004368706429134,34687.421457707846,59727.503482725515,1372.826338444344,6,-0.4577423583723017,0.12065941665022524,0.880859375,40667.818162163065,0.0,0.0
-0.2367167312161112,34734.498199038295,61522.54910694556,1470.1961280879564,6,0.2599135946211916,-0.4042253577941706,0.876953125,40973.37083102973,0.0,0.0
-0.30576096049573903,33785.585678468706,58962.455588096636,1343.3004170889053,6,0.08259396884792153,0.48059066820183155,0.873046875,39984.57993993033,5.473901178915668e-13,0.0
-0.21475786212238535,33414.771281851215,61805.311720513404,1494.6800384214382,6,-0.3910145782913316,-0.30282366740111555,0.869140625,39670.66114785979,0.0,0.0
-0.329332765298218,33366.20333027818,58036.065044690025,1305.902763369217,6,0.49965577375861053,-0.04139545950999479,0.865234375,39962.66133950096,0.0,0.0
-0.20188605731990655,33788.85917904244,61957.649203919515,1512.429922303234,6,-0.3450056327981756,0.3729409798098284,0.861328125,40764.65238611951,0.0,0.0
-0.5013727343144848,32737.09077722505,57009.13553215448,1267.2691139843105,4,0.0025104304791140238,-0.5146080314280899,0.857421875,39630.09574349193,0.0,0.0
-0.17891967467079806,32298.584710828974,61969.40312665264,1522.8062454624487,6,0.35009735551445414,0.38593123680604713,0.853515625,39167.250901721425,0.0,0.0
-0.3936622773044155,32092.87847308722,57412.98109481007,1326.0587497238544,5,-0.5251618397086073,-0.04867188126609003,0.849609375,39277.978822150544,0.0,0.0
-0.17096134779240885,32548.210583887987,61831.90581169899,1525.2820610647009,6,0.4250868581612932,-0.3226257698693565,0.845703125,40143.45292267094,0.0,0.0
-0.24829504260263308,31759.79250779294,58827.03796064179,1373.5965151582402,6,-0.09661434033112912,0.5310778572701136,0.8417968750000001,39334.43966842756,0.0,0.0
-0.15557180480247862,31213.533470653638,61538.04857223776,1519.4566203639783,6,-0.2907164591952994,-0.4619775328845085,0.837890625,38695.812232357945,0.0,0.0
-0.2504663826491095,30753.983323498476,57889.64325614536,1436.58930874669,5,0.5321649096632564,0.14584433886496143,0.833984375,38567.56547317148,0.0,0.0
-0.14746142525174227,31244.604863333225,61082.338934771076,1505.066431721894,6,-0.4961310006896634,0.25460623824085227,0.830078125,39391.61065003086,0.0,0.0
-0.15619318357862078,30840.42828095852,60256.734710008604,1466.4634786990914,6,0.19585363146223977,-0.5282815423635749,0.826171875,39088.193031105235,0.0,0.0
-0.13201967467079734,30154.039918172075,60460.9456194908,1481.993293806819,6,0.2145764428456661,0.5271016904915596,0.822265625,38254.14180537414,0.0,0.0
-0.1206730441518204,29890.09488240482,60810.71577367361,1505.282259782832,6,-0.5193371874679816,-0.2461235849374374,0.818359375,38113.76350390707,3.2354840964979558e-12,0.0
-0.15323903950426038,29982.859267510645,59671.73033774785,1450.2689328221854,6,0.5544745756061082,-0.17095043780043562,0.814453125,38644.022791072275,0.0,0.0
